Application,class,Number_Api_Calls,Class_Size,Issue_Score
Conversations,AbstractParser,9,5,1.7531533820852394
Conversations,IqGenerator,11,26,2.166125840921116
Conversations,Config,3,1,3.1630926015133176
Conversations,SaslMechanism,4,4,0.10768436929427641
Conversations,ChooseContactActivity,30,9,2.329439280284998
Conversations,ScramSha1,19,9,3.9254901960784325
Conversations,HttpConnectionManager,10,6,0.045454545454545456
Conversations,Data,4,9,0.07228915662650602
Conversations,XmppAxolotlSession,15,11,0.07636738906088751
Conversations,Plain,4,2,0.07827260458839405
Conversations,MessageGenerator,6,16,6.253218045740694
Conversations,AvatarService,16,5,5.739669872953714
Conversations,JingleConnectionManager,13,9,2.5300685271331838
Conversations,Content,2,8,0.351130191406919
Conversations,MucOptions,15,34,16.4921604545291
Conversations,PRNGFixes,36,14,0.009645892679311702
Conversations,IqParser,21,14,8.17555537525922
Conversations,GeoHelper,12,4,4.0
Conversations,Presences,7,9,2.422266723443234
Conversations,HttpUploadConnection,24,12,0.7666666666666666
Conversations,Bookmark,5,16,2.804393648801162
Conversations,JingleCandidate,7,7,0.5152130087396136
Conversations,DNSHelper,24,8,4.5046871646659135
Conversations,Field,4,6,0.1
Conversations,NotificationService,33,36,27.897508855094006
Conversations,ConversationAdapter,15,7,3.4322359325908196
Conversations,SettingsFragment,11,5,1.043010752688172
Conversations,AccountAdapter,10,4,3.6027319724311275
Conversations,XmlReader,13,6,0.4055884225493218
Conversations,PublishProfilePictureActivity,26,14,1.1662714390816644
Conversations,MessageParser,10,10,40.04743154462564
Conversations,ConversationActivity,87,78,34.107470639922546
Conversations,EventReceiver,4,2,0.7318788337044579
Conversations,StartConversationActivity,87,44,20.456522136892765
Conversations,Element,10,12,2.4934139402282636
Conversations,TrustKeysActivity,32,24,0.23529411764705882
Conversations,DatabaseBackend,30,60,8.254703524399632
Conversations,Avatar,9,9,0.4693114211996189
Conversations,MimeUtils,14,9,2.0
Conversations,FileUtils,16,6,0.25
Conversations,SettingsActivity,42,12,5.511879761661826
Conversations,HttpDownloadConnection,39,17,0.6666666666666666
Conversations,JinglePacket,2,11,0.07719646765860665
Conversations,XmppUri,6,4,1.141604010025063
Conversations,XmppConnectionService,196,164,70.66997377813178
Conversations,TagWriter,11,9,0.04801753298139775
Conversations,IqPacket,2,7,2.7638071140844787
Conversations,UIHelper,23,15,52.404797519235416
AntennaPod,AlarmUpdateReceiver,2,2,0.6841122760189424
AntennaPod,DirectoryChooserActivity,50,19,3.5563090974855665
AntennaPod,DownloadLogFragment,20,16,8.68758363939658
AntennaPod,ItunesSearchFragment,30,8,9.44831894687324
AntennaPod,TagListFragment,21,13,2.753169866132742
AntennaPod,VariableSpeedDialog,11,2,0.4671460696369881
AntennaPod,GpodnetEpisodeAction,15,13,2.2599871531167115
AntennaPod,ItemDescriptionFragment,43,26,5.104035299610252
AntennaPod,UserPreferences,24,51,37.402647811952676
AntennaPod,EventDistributor,11,11,0.5843670333016674
AntennaPod,PlaybackServiceTaskManager,27,25,3.870164567965894
AntennaPod,FeedPreferences,4,4,1.1750089908329966
AntennaPod,CoverFragment,9,9,0.12460941147737639
AntennaPod,DownloadsFragment,7,5,0.5754180528042493
AntennaPod,AudioplayerActivity,63,41,9.077887756512869
AntennaPod,OpmlImportBaseActivity,8,4,0.5
AntennaPod,ID3Reader,9,8,0.037037037037037035
AntennaPod,AllEpisodesListAdapter,19,7,3.518287250416949
AntennaPod,QueueFragment,58,40,31.793271514261182
AntennaPod,FeedItem,5,12,13.012161479011269
AntennaPod,Feed,5,9,2.617402673003369
AntennaPod,TimeDialog,24,8,3.41934625358264
AntennaPod,OpmlWriter,9,2,4.704402515723268
AntennaPod,ClientConfigurator,1,2,0.024769005784902733
AntennaPod,FeedMenuHandler,8,3,5.678353905625812
AntennaPod,MenuItemUtils,4,1,5.230244756895676
AntennaPod,FrameHeader,3,2,0.009259259259259259
AntennaPod,PreferenceController,136,19,14.621640801795046
AntennaPod,ExternalMedia,16,9,0.7929844738355378
AntennaPod,ChapterListAdapter,24,7,5.5
AntennaPod,ItunesAdapter,12,2,0.03869250716527911
AntennaPod,TypeGetter,9,6,3.09870589180934
AntennaPod,AddFeedFragment,18,3,1.3166725413117908
AntennaPod,GpodnetPreferences,14,30,2.6318330090777398
AntennaPod,UpdateManager,13,4,0.025672937473643073
AntennaPod,PreferenceActivity,9,7,18.850138183401945
AntennaPod,FlattrStatusFetcher,12,2,0.012836468736821535
AntennaPod,FeedRemover,10,8,8.39309815499891
AntennaPod,PodcastApp,6,3,10.924203487334871
AntennaPod,NSAtom,9,3,1.2627131498755435
AntennaPod,DownloadService,133,29,44.42125044183044
AntennaPod,ChapterReader,10,6,0.018518518518518517
AntennaPod,RunningDownloadsFragment,10,7,1.0647548306465102
AntennaPod,HttpDownloader,20,6,17.798754813575492
AntennaPod,PlaybackPreferences,6,9,0.9252422907488989
AntennaPod,SearchListFragment,7,7,0.569638831675154
AntennaPod,GpodnetService,23,23,15.737292463901149
AntennaPod,QueueAccess,3,2,0.014668458249655066
AntennaPod,PlaybackCompletionDateComparator,3,2,0.02702702702702703
AntennaPod,PlayerWidgetService,14,10,5.8260955626529425
AntennaPod,FlattrClickWorker,26,10,1.9948866850234235
AntennaPod,DefaultActionButtonCallback,15,5,9.004245198248869
AntennaPod,APCleanupAlgorithm,14,5,6.697820848610433
AntennaPod,OpmlExportWorker,14,6,3.477717737322583
AntennaPod,DownloadRequester,17,18,21.007284602058967
AntennaPod,ConfirmationDialog,10,6,1.1311826381471146
AntennaPod,Timeline,17,5,3.3415068274799427
AntennaPod,DBReader,7,2,13.712242208301435
AntennaPod,DownloadStatusComparator,3,2,0.02702702702702703
AntennaPod,AntennapodHttpClient,6,1,3.0214936121423563
AntennaPod,DownloadStatus,3,3,0.45930468242614253
