Application,class,Number_Api_Calls,Class_Size,Issue_Score
Conversations,MucOptions,15,34,16.4921604545291
Conversations,ListItemAdapter,23,8,3.4084991522001373
Conversations,AbstractSearchableListItemActivity,17,9,0
Conversations,Field,4,6,0.1
Conversations,XmlHelper,2,2,0
Conversations,IqParser,21,14,8.17555537525922
Conversations,GeoHelper,12,4,4.0
Conversations,VerifyOTRActivity,30,23,0
Conversations,Presences,7,9,2.422266723443234
Conversations,JingleFile,0,0,0.009645892679311702
Conversations,HttpUploadConnection,24,12,0.7666666666666666
Conversations,OnPrimaryCandidateFound,1,0,0
Conversations,InactivePacket,0,1,0
Conversations,OnIqPacketReceived,1,0,0
Conversations,SerialSingleThreadExecutor,8,4,0
Conversations,Bookmark,5,16,2.804393648801162
Conversations,JingleCandidate,7,7,0.5152130087396136
Conversations,XmppAxolotlMessage,29,10,0
Conversations,Content,2,8,0.351130191406919
Conversations,OnPresencePacketReceived,1,0,0
Conversations,NotificationService,33,36,27.897508855094006
Conversations,ConversationAdapter,15,7,3.4322359325908196
Conversations,OnAdvancedStreamFeaturesLoaded,1,0,0
Conversations,DownloadableFile,3,4,0
Conversations,ImageCopyException,0,0,0.5514863686194221
Conversations,ImageParams,0,0,0.16662512117435258
Conversations,XmppAxolotlPlaintextMessage,0,0,0.017543859649122806
Conversations,LinuxPRNGSecureRandom,0,0,0.028487187657473986
Conversations,SettingsFragment,11,5,1.043010752688172
Conversations,OnPhoneContactsMerged,1,0,0
Conversations,AccountAdapter,10,4,3.6027319724311275
Conversations,XmlReader,13,6,0.4055884225493218
Conversations,AbstractAcknowledgeableStanza,3,4,0
Conversations,OnMessageCreatedCallback,1,0,0
Conversations,PublishProfilePictureActivity,26,14,1.1662714390816644
Conversations,MessageParser,10,10,40.04743154462564
Conversations,ConversationActivity,87,78,34.107470639922546
Conversations,XmppDomainVerifier,15,4,0
Conversations,NoSessionsCreatedException,1,1,0
Conversations,StartConversationActivity,87,44,20.456522136892765
Conversations,ChatState,2,6,0
Conversations,ChangePasswordActivity,17,7,0
Conversations,ExifHelper,4,3,0
Conversations,OtrEngine,0,0,4.580697438852551
Conversations,Element,10,12,2.4934139402282636
Conversations,TrustKeysActivity,32,24,0.23529411764705882
Conversations,RequestPacket,1,1,0.009645892679311702
Conversations,Avatar,9,9,0.4693114211996189
Conversations,AckPacket,2,1,0.3318384060482957
Conversations,FileUtils,16,6,0.25
Conversations,AboutActivity,1,2,0
Conversations,SettingsActivity,42,12,5.511879761661826
Conversations,ActivePacket,0,1,0
Conversations,HttpDownloadConnection,39,17,0.6666666666666666
Conversations,JinglePacket,2,11,0.07719646765860665
Conversations,XmppUri,6,4,1.141604010025063
Conversations,EventReceiver,4,2,0.7318788337044579
Conversations,XmppAxolotlMessageHeader,0,0,0.017543859649122806
Conversations,XmppConnectionService,196,164,70.66997377813178
Conversations,TagWriter,11,9,0.04801753298139775
Conversations,ZLibOutputStream,0,0,2.0096458926793117
Conversations,IqPacket,2,7,2.7638071140844787
Conversations,AboutPreference,4,3,0
Conversations,UIHelper,23,15,52.404797519235416
AntennaPod,DirectoryChooserActivity,50,19,3.5563090974855665
AntennaPod,FeedPreferences,4,4,1.1750089908329966
AntennaPod,ApplicationCallbacks,2,3,0
AntennaPod,DefaultFeedItemlistAdapter,0,0,0.12037037037037036
AntennaPod,VariableSpeedDialog,11,2,0.4671460696369881
AntennaPod,GpodnetEpisodeAction,15,13,2.2599871531167115
AntennaPod,ItemDescriptionFragment,43,26,5.104035299610252
AntennaPod,HandlerState,6,4,0
AntennaPod,UserPreferences,24,51,37.402647811952676
AntennaPod,EventDistributor,11,11,0.5843670333016674
AntennaPod,PlaybackServiceTaskManager,27,25,3.870164567965894
AntennaPod,DownloadRequester,17,18,21.007284602058967
AntennaPod,TimelineTest,0,0,0.024769005784902733
AntennaPod,PlayerWidget,3,5,0
AntennaPod,CoverFragment,9,9,0.12460941147737639
AntennaPod,VorbisCommentChapter,7,5,0
AntennaPod,AudioplayerActivity,63,41,9.077887756512869
AntennaPod,PreferencesTest,0,0,5.124114207946233
AntennaPod,Converter,0,0,2.482551303783615
AntennaPod,SearchlistAdapter,9,4,0.24921882295475278
AntennaPod,FeedItem,5,12,13.012161479011269
AntennaPod,DBNullCleanupAlgorithmTest,0,0,0.0851063829787234
AntennaPod,Feed,5,9,2.617402673003369
AntennaPod,GpodnetCallbacks,3,2,0
AntennaPod,DownloadServiceCallbacksImpl,0,0,0.07481803036752076
AntennaPod,FeedlistFragment,0,0,0.6666666666666666
AntennaPod,AndroidMediaPlayer,0,0,4.042816606397802
AntennaPod,FrameHeader,3,2,0.009259259259259259
AntennaPod,UnsupportedFeedtypeException,2,2,0
AntennaPod,UsageComparator,0,0,0.5379640675941442
AntennaPod,FeedItemDialog,0,0,4.0
AntennaPod,AllEpisodesListAdapter,19,7,3.518287250416949
AntennaPod,AntennaPodTestRunner,0,0,0.025672937473643073
AntennaPod,ItunesAdapter,12,2,0.03869250716527911
AntennaPod,AddFeedFragment,18,3,1.3166725413117908
